Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Fresno St.,Mountain West,49,"1,207",279,356,62,18,595,47,,149,52,247,23,21,225,73,9,2,,88,13,,301,332,316.1,268,103,90,83,356,21,"1,318","1,192",29,5,25,,16,,23,91,,,,,12,8,,262,302,3,949,269,34,,4,30,6,"1,252",18,
Furman,SoCon,47,"1,160",186,274,55,5,450,37,1,147,36,167,7,21,295,76,18,7,,57,19,,263,325,299.2,374,240,194,112,123,6,"1,413","1,250",66,2,46,,17,,20,32,2,,,,21,10,,366,372,5,899,368,56,,1,70,16,"1,323",13,
Ga. Southern,Sun Belt,43,"1,165",172,313,55,7,493,37,,96,13,149,4,16,240,51,12,6,,21,3,,291,311,282.1,342,209,172,114,141,3,"1,333","1,150",63,11,30,,27,,30,47,,,,,24,14,1,270,403,3,847,272,54,1,2,60,7,"1,173",18,
Gardner-Webb,Big South,34,802,63,156,11,1,214,15,1,82,16,46,2,25,195,50,7,1,,14,3,,224,232,210.1,253,202,153,146,161,1,"1,059",836,33,4,26,,33,,30,43,,,,,31,15,1,200,243,,630,196,46,1,22,82,13,872,10,
George Mason,Atlantic 10,35,946,125,244,40,8,336,12,1,66,8,109,12,17,219,52,5,,,62,12,,213,262,243.1,245,116,93,68,206,6,"1,073",963,43,10,14,,14,,11,62,,,,,20,11,,255,248,7,730,238,36,,1,50,1,"1,004",5,
George Washington,Atlantic 10,48,"1,316",336,447,80,9,737,64,1,150,34,309,14,17,154,33,14,8,,54,10,,335,350,306.1,268,103,86,55,308,13,"1,263","1,166",50,8,18,,14,,21,64,,,,,18,3,,260,323,2,919,278,28,,2,22,12,"1,225",7,
Georgia,SEC,57,"1,461",276,384,56,14,717,83,4,174,29,257,11,13,279,62,32,17,,30,3,,393,386,382,342,241,176,200,379,10,"1,755","1,475",52,2,42,,34,,47,82,2,,,,19,14,,389,344,7,"1,146",395,72,,12,44,9,"1,613",14,
Georgia St.,Sun Belt,46,"1,216",177,322,37,7,472,33,,129,15,156,3,21,262,59,10,8,,44,5,,310,311,302,336,236,190,163,180,3,"1,431","1,207",51,3,56,,48,,20,54,,,,,31,9,1,353,335,4,906,376,53,1,13,93,11,"1,335",14,
Georgia Tech,ACC,46,"1,180",234,326,48,2,546,56,1,176,33,219,15,13,235,74,14,5,,29,9,,300,314,297.1,339,232,195,107,204,5,"1,365","1,184",56,6,59,,26,,43,45,2,,,,21,10,,294,351,4,892,301,36,,11,77,8,"1,229",13,1
Grambling,SWAC,29,722,117,177,23,2,228,8,1,66,23,97,3,22,154,31,3,,,69,6,,224,156,180.1,253,168,136,89,86,,897,777,44,15,13,,16,,8,27,,,,,13,10,,211,211,4,541,224,43,,9,61,12,808,6,
Grand Canyon,WAC,49,"1,274",199,350,48,10,487,23,,104,27,168,8,32,188,38,17,7,,51,12,,418,309,318.1,424,285,215,141,195,5,"1,586","1,360",83,7,46,,7,,51,54,,,,,29,5,,352,349,5,955,374,79,,3,27,19,"1,408",14,
Green Bay,Horizon,44,"1,207",186,336,57,5,466,21,,115,36,168,10,27,223,54,11,4,,40,7,,344,296,292.2,290,174,144,112,208,4,"1,311","1,121",71,10,29,,14,,28,62,,,,,38,11,1,286,345,1,877,309,49,1,10,34,10,"1,235",8,
Hartford,America East,19,495,55,120,20,,176,12,,32,13,51,4,2,134,30,1,1,,16,5,,116,114,125.2,153,76,65,20,70,1,555,523,31,7,12,,2,,4,24,,,,,3,5,,142,147,,377,139,20,,,30,4,536,5,
Hawaii,Big West,31,807,132,215,35,7,318,18,,85,22,119,9,3,173,34,6,6,1,28,7,,172,233,202.1,309,187,159,78,53,2,"1,014",898,57,4,33,,22,,22,12,,,,,11,5,,274,245,1,607,292,47,,2,30,5,946,11,
Hofstra,CAA,32,870,171,261,38,12,365,14,,86,25,155,11,15,147,25,6,,1,83,14,,269,188,212.1,276,164,127,84,61,1,"1,003",881,46,4,26,,4,,17,22,4,,,,13,8,,326,197,2,637,360,48,,2,16,10,"1,045",24,1
Holy Cross,Patriot,28,683,54,138,21,1,188,9,,56,12,51,2,20,166,38,7,3,,13,6,,220,158,187.2,204,111,86,61,164,4,845,749,40,5,15,,9,,7,60,,,,,21,7,,195,178,1,563,213,35,,6,23,7,811,14,
Houston,AAC,50,"1,233",203,322,54,8,539,49,2,137,40,183,11,23,257,60,18,10,,55,11,,298,365,312.1,374,276,224,157,179,2,"1,525","1,286",51,3,67,,49,,46,42,,,,,29,7,,333,392,2,937,339,57,,11,46,14,"1,333",8,
Houston Baptist,Southland,39,"1,040",153,282,45,5,427,30,2,101,20,146,5,30,189,56,14,3,,12,2,,276,294,266.1,226,107,91,118,160,9,"1,152",981,33,2,9,,9,,22,54,,,,,26,5,,280,325,,799,303,27,,7,38,6,"1,129",13,
Howard,MEAC,30,789,158,237,46,8,329,10,3,84,23,129,5,30,88,34,9,2,,40,12,,275,194,200.2,211,136,119,73,160,5,907,786,48,6,21,,11,,24,42,,,,,16,8,,188,224,2,602,210,30,,5,31,6,842,14,
Idaho St.,Big Sky,39,"1,014",171,290,53,3,418,23,,107,25,159,10,12,146,49,18,6,,12,11,,283,290,241,390,282,250,104,103,1,"1,235","1,085",75,12,53,,14,,20,25,,,,,12,14,,267,314,1,723,279,45,,8,46,10,"1,047",14,
